경기날짜,팀1 이름,팀2 이름,팀1 점수,팀2 점수,팀1 투수,팀2 투수
20080717,LG,한화,7,11,,
20080717,KIA,롯데,2,3,,
20080718,SK,넥센,3,2,,
20080718,두산,KIA,3,4,,
20080718,롯데,LG,3,4,,
20080718,한화,삼성,0,3,,
20080719,두산,KIA,4,5,,
20080719,한화,삼성,3,4,,
20080720,한화,삼성,4,5,,
20080722,넥센,LG,4,0,,
20080722,삼성,KIA,1,7,,
20080722,두산,한화,4,5,,
20080722,롯데,SK,3,6,,
20080723,넥센,LG,5,1,,
20080723,삼성,KIA,6,3,,
20080723,롯데,SK,6,7,,
20080724,삼성,KIA,13,2,,
20080724,두산,한화,3,6,,
20080725,한화,롯데,1,5,,
20080726,한화,롯데,5,3,,
20080727,삼성,두산,5,4,,
20080727,LG,SK,0,11,,
20080727,KIA,넥센,8,2,,
20080727,한화,롯데,2,9,,
20080729,SK,삼성,3,6,,
20080729,롯데,두산,4,3,,
20080729,LG,KIA,0,5,,
20080729,한화,넥센,10,6,,
20080730,롯데,두산,9,3,,
20080730,LG,KIA,5,1,,
20080730,한화,넥센,2,6,,
20080731,SK,삼성,4,8,,
20080731,롯데,두산,9,6,,
20080731,LG,KIA,0,5,,
20080731,한화,넥센,4,2,,
20080826,삼성,넥센,5,2,,
20080826,두산,SK,3,4,,
20080826,롯데,한화,11,4,,
20080826,KIA,LG,2,4,,
20080827,삼성,넥센,4,2,,
20080827,두산,SK,12,3,,
20080827,롯데,한화,7,3,,
20080827,KIA,LG,0,3,,
20080828,삼성,넥센,5,3,,
20080828,두산,SK,4,9,,
20080828,롯데,한화,11,4,,
20080828,KIA,LG,8,0,,
20080829,넥센,KIA,1,3,,
20080829,삼성,롯데,4,7,,
20080829,SK,한화,4,2,,
20080829,두산,LG,6,3,,
20080830,넥센,KIA,1,2,,
20080830,삼성,롯데,2,5,,
20080830,SK,한화,2,7,,
20080830,두산,LG,6,5,,
20080831,넥센,KIA,5,0,,
20080831,삼성,롯데,5,7,,
20080831,SK,한화,16,2,,
20080831,두산,LG,4,7,,
20080902,넥센,SK,2,4,,
20080902,LG,롯데,3,8,,
20080902,KIA,삼성,3,7,,
20080902,한화,두산,1,6,,
20080903,넥센,SK,0,8,,
20080903,LG,롯데,3,2,,
20080903,KIA,삼성,4,3,,
20080903,한화,두산,0,1,,
20080904,넥센,SK,1,5,,
20080904,LG,롯데,9,11,,
20080904,KIA,삼성,5,6,,
20080904,한화,두산,5,6,,
20080905,삼성,한화,1,3,,
20080905,SK,LG,4,3,,
20080905,두산,넥센,5,12,,
20080905,롯데,KIA,7,1,,
20080906,삼성,한화,5,3,,
20080906,SK,LG,6,1,,
20080906,두산,넥센,9,3,,
20080906,롯데,KIA,10,2,,
20080907,삼성,한화,2,1,,
20080907,SK,LG,5,6,,
20080907,두산,넥센,5,3,,
20080907,롯데,KIA,5,2,,
20080909,넥센,롯데,3,4,,
20080909,SK,KIA,8,0,,
20080909,두산,삼성,0,2,,
20080909,한화,LG,0,2,,
20080910,넥센,롯데,2,3,,
20080910,SK,KIA,5,7,,
20080910,두산,삼성,12,3,,
20080910,한화,LG,0,1,,
20080911,넥센,롯데,4,5,,
20080911,SK,KIA,3,1,,
20080911,두산,삼성,1,3,,
20080911,한화,LG,5,1,,
20080912,롯데,삼성,3,6,,
20080912,LG,넥센,1,2,,
20080912,KIA,두산,3,8,,
20080912,한화,SK,3,4,,
20080913,롯데,삼성,6,5,,
20080913,LG,넥센,5,3,,
20080913,KIA,두산,3,8,,
20080913,한화,SK,5,2,,
20080914,롯데,삼성,9,1,,
20080914,LG,넥센,9,0,,
20080914,KIA,두산,2,12,,
20080914,한화,SK,1,2,,
20080916,SK,두산,5,4,,
20080916,롯데,한화,9,6,,
20080916,KIA,넥센,0,7,,
20080917,SK,두산,5,2,,
20080917,롯데,한화,4,7,,
20080917,KIA,넥센,4,2,,
20080918,SK,LG,8,4,,
20080918,KIA,삼성,2,14,,
20080919,넥센,SK,2,3,,
20080919,두산,롯데,6,5,,
20080920,두산,롯데,8,2,,
20080921,두산,롯데,11,2,,
20080921,삼성,LG,5,3,,
20080921,KIA,SK,1,2,,
20080923,넥센,두산,5,12,,
20080923,롯데,KIA,8,9,,
20080923,한화,SK,4,3,,
20080924,넥센,두산,4,2,,
20080924,롯데,삼성,5,8,,
20080924,LG,SK,1,2,,
20080925,넥센,두산,5,2,,
20080925,롯데,삼성,4,1,,
20080925,LG,SK,3,4,,
20080926,넥센,KIA,5,4,,
20080926,삼성,두산,0,1,,
20080926,LG,SK,3,1,,
20080927,삼성,두산,0,5,,
20080927,SK,넥센,8,4,,
20080927,LG,KIA,0,1,,
20080927,한화,롯데,3,4,,
20080928,삼성,두산,10,9,,
20080928,SK,넥센,3,4,,
20080928,KIA,롯데,2,4,,
20080930,넥센,LG,1,2,,
20080930,두산,한화,2,7,,
20080930,롯데,SK,2,3,,
20081001,삼성,넥센,1,2,,
20081001,롯데,SK,1,7,,
20081001,LG,두산,7,2,,
20081002,SK,KIA,2,3,,
20081002,두산,넥센,16,3,,
20081003,SK,KIA,5,2,,
20081003,두산,넥센,2,8,,
20081003,롯데,LG,9,3,,
20081004,넥센,한화,3,5,,
20081004,SK,삼성,3,6,,
20081004,두산,KIA,2,8,,
20081004,롯데,LG,0,4,,
20081005,넥센,SK,8,4,,
20081008,삼성,롯데,12,3,,
20081016,삼성,두산,4,8,,
20081017,삼성,두산,7,4,,
20081019,두산,삼성,2,6,,
20081020,두산,삼성,12,6,,
20081021,두산,삼성,6,4,,
20081023,삼성,두산,2,5,,
20081026,두산,SK,5,2,,
20081027,두산,SK,2,5,,
20081029,SK,두산,3,2,,
20081030,SK,두산,4,1,,
20081031,SK,두산,2,0,,
20090404,한화,SK,8,2,류현진,채병용
20090404,키움,롯데,2,3,마일영,이정민
20090404,LG,삼성,2,6,봉중근,윤성환
20090404,KIA,두산,5,7,윤석민,김선우
20090405,키움,롯데,10,1,김수경,장원준
20090405,LG,삼성,3,5,정재복,에르난데스
20090405,KIA,두산,1,3,양현종,정재훈
20090405,한화,SK,2,5,김혁민,이승호
20090407,삼성,키움,8,10,권혁,조용훈
20090407,SK,KIA,4,3,김광현,구톰슨
20090407,두산,한화,7,7,,
20090407,롯데,LG,1,3,조정훈,심수창
20090408,삼성,키움,1,5,조진호,이현승
20090408,SK,KIA,4,6,니코스키,서재응
20090408,두산,한화,2,3,노경은,송진우
20090408,롯데,LG,3,0,이용훈,이범준
20090409,삼성,키움,5,9,배영수,마일영
20090409,SK,KIA,2,2,,
20090409,두산,한화,11,2,김선우,정민철
20090409,롯데,LG,3,6,장원준,봉중근
20090410,삼성,KIA,5,2,윤성환,이대진
20090410,SK,키움,16,4,고효준,김수경
20090410,두산,LG,5,8,이용찬,정찬헌
20090410,롯데,한화,3,8,송승준,류현진
20090411,삼성,KIA,2,1,차우찬,유동훈
20090411,SK,키움,10,3,송은범,김성현
20090411,두산,LG,13,5,성영훈,최원호
20090411,롯데,한화,6,10,허준혁,김혁민
20090412,롯데,한화,7,4,조정훈,윤규진
20090412,삼성,KIA,0,1,크루세타,양현종
20090412,SK,키움,5,4,이승호,오재영
20090412,두산,LG,4,3,김명제,최동환
20090414,키움,두산,2,1,이현승,김선우
20090414,LG,SK,7,3,최동환,김원형
20090414,KIA,롯데,4,0,구톰슨,이용훈
20090414,한화,삼성,7,5,안영명,김상수
20090415,LG,SK,4,4,,
20090415,KIA,롯데,0,1,김영수,애킨스
20090416,키움,두산,1,0,마일영,김상현
20090416,LG,SK,6,5,정찬헌,정우람
20090416,KIA,롯데,3,2,곽정철,송승준
20090416,한화,삼성,2,8,양훈,권혁
20090417,SK,한화,10,9,정대현,토마스
20090417,두산,삼성,13,4,정재훈,크루세타
20090417,롯데,키움,13,8,조정훈,김수경
20090417,KIA,LG,14,0,로페즈,심수창
20090418,SK,한화,9,4,이승호,김백만
20090418,두산,삼성,3,12,김명제,윤성환
20090418,롯데,키움,5,0,임경완,장원삼
20090418,KIA,LG,2,7,윤석민,최원호
20090419,두산,삼성,4,5,김선우,정현욱
20090419,SK,한화,8,2,송은범,정민철
20090419,롯데,키움,2,6,이용훈,이현승
20090419,KIA,LG,9,2,양현종,이범준
20090421,삼성,LG,5,3,권혁,봉중근
20090421,두산,KIA,9,5,임태훈,한기주
20090421,롯데,SK,1,9,장원준,고효준
20090421,한화,키움,8,4,안영명,마일영
20090422,삼성,LG,4,6,배영수,정재복
20090422,두산,KIA,6,4,성영훈,한기주
20090422,롯데,SK,1,13,송승준,전병두
20090422,한화,키움,11,1,류현진,김수경
20090423,삼성,LG,4,1,크루세타,심수창
20090423,두산,KIA,3,0,이재우,임준혁
20090423,롯데,SK,2,8,조정훈,카도쿠라
20090423,한화,키움,7,6,김혁민,장원삼
20090424,LG,롯데,7,6,이재영,이용훈
20090424,KIA,삼성,5,6,유동훈,최원제
20090425,키움,SK,1,7,이현승,김광현
20090425,LG,롯데,10,9,최원호,김대우
20090425,KIA,삼성,2,1,임준혁,정현욱
20090426,LG,롯데,3,5,봉중근,장원준
20090426,키움,SK,3,4,마일영,송은범
20090426,KIA,삼성,10,2,구톰슨,안지만
20090426,한화,두산,2,6,유원상,김선우
20090427,키움,SK,7,4,이동학,김원형
20090428,키움,삼성,1,4,김수경,배영수
20090428,SK,두산,2,15,카도쿠라,김상현
20090428,롯데,KIA,0,2,이정훈,유동훈
20090428,LG,한화,5,11,정재복,류현진
20090429,키움,삼성,3,2,신철인,안지만
20090429,SK,두산,6,6,,
20090429,롯데,KIA,7,2,조정훈,서재응
20090429,LG,한화,4,3,심수창,안영명
20090430,키움,삼성,8,1,이현승,윤성환
20090430,SK,두산,8,3,김광현,진야곱
20090430,롯데,KIA,5,11,하준호,손영민
20090430,LG,한화,9,19,이범준,김혁민
20090501,키움,LG,5,9,마일영,봉중근
20090501,삼성,SK,0,2,차우찬,송은범
20090501,두산,롯데,11,5,김선우,장원준
20090501,한화,KIA,4,4,,
20090502,키움,LG,2,6,이동학,정찬헌
20090502,삼성,SK,5,4,안지만,고효준
20090502,두산,롯데,7,2,홍상삼,김일엽
20090502,한화,KIA,5,7,윤규진,구톰슨
20090503,두산,롯데,2,4,고창성,송승준
20090503,키움,LG,4,7,신철인,이범준
20090503,삼성,SK,3,4,배영수,이승호
20090503,한화,KIA,9,6,류현진,로페즈
20090505,삼성,한화,4,2,최원제,양훈
20090505,SK,롯데,4,0,김광현,조정훈
20090505,LG,두산,12,0,심수창,정재훈
20090505,KIA,키움,6,7,윤석민,김성현
20090506,삼성,한화,8,5,최원제,양훈
20090506,SK,롯데,6,3,채병용,강영식
20090506,LG,두산,3,1,정찬헌,이재우
20090506,KIA,키움,6,5,한기주,황두성
20090507,삼성,한화,6,5,안지만,유원상
20090507,SK,롯데,3,4,고효준,장원준
20090507,LG,두산,7,1,봉중근,김선우
20090507,KIA,키움,10,3,곽정철,이동학
20090508,키움,SK,4,4,,
20090508,롯데,KIA,3,4,김일엽,양현종
20090508,LG,삼성,11,3,최원호,차우찬
20090508,한화,두산,2,6,황재규,홍상삼
20090509,키움,SK,3,7,김수경,카도쿠라
20090509,롯데,KIA,5,4,배장호,로페즈
20090509,LG,삼성,5,1,정재복,배영수
20090509,한화,두산,3,4,류현진,고창성
20090510,LG,삼성,1,3,심수창,크루세타
20090510,키움,SK,2,8,장원삼,김광현
20090510,롯데,KIA,1,2,이정민,구톰슨
20090510,한화,두산,0,4,안영명,정재훈
20090512,삼성,롯데,5,8,조현근,애킨스
20090512,SK,LG,16,10,임성헌,우규민
20090512,두산,키움,3,1,김선우,이현승
20090512,KIA,한화,1,10,이범석,김혁민
20090513,삼성,롯데,5,6,정현욱,이정훈
20090513,SK,LG,2,1,고효준,봉중근
20090513,두산,키움,11,4,이재우,김성현
20090513,KIA,한화,10,8,유동훈,윤규진
20090514,삼성,롯데,6,8,김상수,강영식
20090514,SK,LG,8,4,송은범,김광수
20090514,두산,키움,11,4,임태훈,이보근
20090514,KIA,한화,14,3,양현종,황재규
20090515,삼성,두산,3,5,배영수,김상현
20090515,LG,키움,22,17,김광수,이상열
20090515,KIA,SK,5,2,윤석민,채병용
20090515,한화,롯데,1,7,안영명,송승준
20090517,삼성,두산,8,6,김상수,임태훈
20090517,LG,키움,11,5,이범준,이현승
20090517,KIA,SK,3,4,박경태,김광현
20090517,한화,롯데,12,8,류현진,김유신
20090517,KIA,SK,4,1,구톰슨,전병두
20090517,한화,롯데,3,1,김혁민,조정훈
20090517,LG,키움,5,6,오상민,황두성
20090517,삼성,두산,7,8,권오원,임태훈
20090519,키움,한화,2,4,마일영,양훈
20090519,SK,삼성,3,2,고효준,안지만
20090519,롯데,두산,3,11,이상화,고창성
